#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI;g__Parvimonas	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI;g__Parvimonas-Tissierella	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI;g__Peptoniphilus	0	504	46	0	0	0	0	30	0	68	0	0	0	211	0	0	0	0	0	0	0	551	0	105	0	41	0	0	0	821	0	0	0	0	0	0	16	0	0	0	38	0	0	0	0	0	0	0	0	0	0	528	42	37	0	17	29	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XIII;g__Mogibacterium	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	18	0	61	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XIII;g__NA	12	167	0	0	12	0	48	82	11	0	13	0	0	696	0	38	39	74	0	48	0	231	16	0	0	412	0	407	0	332	11	0	0	0	0	83	242	12	0	11	14	0	0	179	16	0	14	30	0	42	12	58	0	0	0	75	195	260	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	0	59	0	0	332	207	217	836	13	546	117	0	0	156	0	69	109	177	2274	33	0	88	45	133	1544	0	19	786	0	239	0	68	355	146	158	155	78	241	1187	73	730	17	0	106	36	31	23	1164	2715	30	62	28	0	660	244	26	60	346	1499
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	3396	4587	5625	880	4847	320	3606	4667	2350	2480	2385	726	497	9994	723	1819	1848	5673	278	1817	520	2615	3033	3524	4857	6229	1010	8664	142	2319	2760	6829	2499	3542	3810	4646	1550	3935	1409	2012	3544	1177	301	9379	2049	1845	1323	4061	1014	2578	284	1603	2199	7552	4672	3943	3892	7256	1535
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia-Lachnoclostridium	30	45	0	0	17	0	15	43	11	11	0	14	0	114	0	30	22	18	0	18	0	20	22	0	0	48	0	50	0	34	28	0	0	36	11	132	11	90	0	0	59	0	0	125	0	19	0	14	0	0	0	100	108	0	0	20	17	27	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	238	630	244	0	35	0	0	119	78	77	80	75	0	254	0	2359	297	224	176	0	0	314	539	15	94	235	92	653	12	0	23	181	0	52	62	150	166	55	29	66	95	471	0	90	12	903	55	259	374	13	22	232	122	42	26	109	120	201	105
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	534	574	0	320	657	171	1201	425	821	2463	160	425	0	302	14	264	246	126	506	1492	0	93	1222	150	1188	269	1917	758	0	28	197	543	573	1120	463	173	144	354	693	86	1794	798	0	430	126	289	112	278	583	726	0	176	422	119	520	228	134	407	220
