sample_key,customer_label,donor_id,aliquot_id,carbohydrate,timepoint,group,gene_copies_per_ul,asv_read_depth
50__50A__SDC__2.0__0H,50A.S2.0H,50,50A,SDC,0H,case,100746269.0,54168.0
50__50A__SDC__2.0__48H,50A.S2.48H,50,50A,SDC,48H,case,5968184215.0,61941.0
50__50B__No Added Carb__1.0__0H,50B.NC.0H,50,50B,No Added Carb,0H,case,109990452.0,76614.0
50__50B__No Added Carb__1.0__48H,50B.NC.48H,50,50B,No Added Carb,48H,case,1260196907.0,52765.0
50__50B__RDC__1.0__0H,50B.R1.0H,50,50B,RDC,0H,case,89215251.0,37042.0
50__50B__RDC__1.0__48H,50B.R1.48H,50,50B,RDC,48H,case,926094377.0,59053.0
50__50B__RDC__2.0__0H,50B.R2.0H,50,50B,RDC,0H,case,123370716.0,59373.0
50__50B__RDC__2.0__48H,50B.R2.48H,50,50B,RDC,48H,case,1528783018.0,70709.0
50__50B__SDC__1.0__0H,50B.S1.0H,50,50B,SDC,0H,case,341942455.0,30165.0
50__50B__SDC__1.0__48H,50B.S1.48H,50,50B,SDC,48H,case,6543815855.0,44219.0
50__50B__SDC__2.0__0H,50B.S2.0H,50,50B,SDC,0H,case,196595353.0,41277.0
50__50B__SDC__2.0__48H,50B.S2.48H,50,50B,SDC,48H,case,3424003823.0,54540.0
58__58A__No Added Carb__1.0__0H,58A.NC.0H,58,58A,No Added Carb,0H,case,718414713.0,45420.0
58__58A__No Added Carb__1.0__48H,58A.NC.48H,58,58A,No Added Carb,48H,case,4142560005.0,46425.0
58__58A__RDC__1.0__0H,58A.R1.0H,58,58A,RDC,0H,case,596920913.0,73164.0
58__58A__RDC__1.0__48H,58A.R1.48H,58,58A,RDC,48H,case,5392591518.0,63421.0
58__58A__RDC__2.0__0H,58A.R2.0H,58,58A,RDC,0H,case,388766968.0,49057.0
58__58A__RDC__2.0__48H,58A.R2.48H,58,58A,RDC,48H,case,5997467669.0,58046.0
58__58A__SDC__1.0__0H,58A.S1.0H,58,58A,SDC,0H,case,468026491.0,42289.0
58__58A__SDC__1.0__48H,58A.S1.48H,58,58A,SDC,48H,case,16935882600.0,51159.0
58__58A__SDC__2.0__0H,58A.S2.0H,58,58A,SDC,0H,case,361628247.0,45962.0
58__58A__SDC__2.0__48H,58A.S2.48H,58,58A,SDC,48H,case,9832863499.0,61324.0
58__58B__No Added Carb__1.0__0H,58B.NC.0H,58,58B,No Added Carb,0H,case,275557205.0,39071.0
58__58B__No Added Carb__1.0__48H,58B.NC.48H,58,58B,No Added Carb,48H,case,930568429.0,59382.0
