sample_id	customer_label	raw_seq_files	Subgroup1
zr24558_202V3V4	67B.NC.0H	zr24558_202V3V4_R1.fastq.gz;zr24558_202V3V4_R2.fastq.gz	
zr24558_203V3V4	92A.R1.0H	zr24558_203V3V4_R1.fastq.gz;zr24558_203V3V4_R2.fastq.gz	
zr24558_204V3V4	92A.R2.0H	zr24558_204V3V4_R1.fastq.gz;zr24558_204V3V4_R2.fastq.gz	
zr24558_205V3V4	92A.S1.0H	zr24558_205V3V4_R1.fastq.gz;zr24558_205V3V4_R2.fastq.gz	
zr24558_206V3V4	92A.S2.0H	zr24558_206V3V4_R1.fastq.gz;zr24558_206V3V4_R2.fastq.gz	
zr24558_207V3V4	92A.NC.0H	zr24558_207V3V4_R1.fastq.gz;zr24558_207V3V4_R2.fastq.gz	
zr24558_208V3V4	176A.R1.0H	zr24558_208V3V4_R1.fastq.gz;zr24558_208V3V4_R2.fastq.gz	
zr24558_209V3V4	176A.R2.0H	zr24558_209V3V4_R1.fastq.gz;zr24558_209V3V4_R2.fastq.gz	
zr24558_210V3V4	176A.S1.0H	zr24558_210V3V4_R1.fastq.gz;zr24558_210V3V4_R2.fastq.gz	
zr24558_211V3V4	176A.S2.0H	zr24558_211V3V4_R1.fastq.gz;zr24558_211V3V4_R2.fastq.gz	
zr24558_212V3V4	176A.NC.0H	zr24558_212V3V4_R1.fastq.gz;zr24558_212V3V4_R2.fastq.gz	
zr24558_213V3V4	137A.R1.0H	zr24558_213V3V4_R1.fastq.gz;zr24558_213V3V4_R2.fastq.gz	
zr24558_214V3V4	137A.R2.0H	zr24558_214V3V4_R1.fastq.gz;zr24558_214V3V4_R2.fastq.gz	
zr24558_215V3V4	137A.S1.0H	zr24558_215V3V4_R1.fastq.gz;zr24558_215V3V4_R2.fastq.gz	
zr24558_216V3V4	137A.S2.0H	zr24558_216V3V4_R1.fastq.gz;zr24558_216V3V4_R2.fastq.gz	
zr24558_217V3V4	137A.NC.0H	zr24558_217V3V4_R1.fastq.gz;zr24558_217V3V4_R2.fastq.gz	
zr24558_218V3V4	41A.R1.0H	zr24558_218V3V4_R1.fastq.gz;zr24558_218V3V4_R2.fastq.gz	
zr24558_219V3V4	41A.R2.0H	zr24558_219V3V4_R1.fastq.gz;zr24558_219V3V4_R2.fastq.gz	
zr24558_220V3V4	41A.S1.0H	zr24558_220V3V4_R1.fastq.gz;zr24558_220V3V4_R2.fastq.gz	
zr24558_221V3V4	41A.S2.0H	zr24558_221V3V4_R1.fastq.gz;zr24558_221V3V4_R2.fastq.gz	
zr24558_222V3V4	41A.NC.48H	zr24558_222V3V4_R1.fastq.gz;zr24558_222V3V4_R2.fastq.gz	
