feature,metadata,value,name,coef,null_hypothesis,stderr,pval_individual,qval_individual,pval_joint,qval_joint,error,model,N,N_not_zero
f__Coriobacteriaceae,obesity_group,obesity,obesity_groupobesity,-0.8189204356619008,0,0.5931729264049873,0.16740929965350732,0.8203467285084257,0.3067927256965366,0.8923285564544978,NA,logistic,289,110
Gordonibacter,obesity_group,obesity,obesity_groupobesity,-1.2067512903628148,0,0.88530816287649,0.17285536295657877,0.8203467285084257,0.3158317494103071,0.900983315964842,NA,logistic,289,113
Collinsella,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,1.387802584519098,0,1.0325661641844894,0.17893784584927572,0.8285791876764491,0.1250326022503127,0.6119384090904728,NA,logistic,289,237
Peptoclostridium,timepoint,48H,timepoint48H,1.5911620845603445,0,1.1903121608818015,0.18130087994640948,0.8354060154393377,0.3297317508234766,0.9171227386292328,NA,logistic,289,13
Subdoligranulum,obesity_group,obesity,obesity_groupobesity,1.286456083849368,0,0.9658120694509478,0.18286209134461245,0.8384895895801742,0.33228563823829915,0.9192032057787732,NA,logistic,289,281
Dorea,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,10.14631086981345,0,7.65723144613803,0.18515039542641903,0.8448610276739509,0.12337587036913218,0.6096924079406629,NA,logistic,289,270
Actinomyces,obesity_group,obesity,obesity_groupobesity,-0.9150632948040214,0,0.6995404567755957,0.19084209706083327,0.845571382532665,0.31440717839275456,0.900983315964842,NA,logistic,289,141
Parvimonas,obesity_group,obesity,obesity_groupobesity,-1.5100461356135342,0,1.1558392590076536,0.19139959079791655,0.845571382532665,0.34616537823822335,0.9351153347637489,NA,logistic,289,13
Pseudomonas,carbohydrate,RDC,carbohydrateRDC,-0.9783654469033987,0,0.7492161538658896,0.191602877105806,0.845571382532665,0.191602877105806,0.7388323064155701,NA,logistic,289,15
Alistipes,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-1.4486247640459144,0,1.122231348987675,0.1967580364283456,0.8495443267134605,0.3548023479575534,0.9351153347637489,NA,logistic,289,129
Alistipes,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-1.4325205289744642,0,1.112651403725233,0.19792575271302962,0.8495443267134605,0.3566769018390399,0.9351153347637489,NA,logistic,289,129
Bilophila,carbohydrate,RDC,carbohydrateRDC,-1.640208631682856,0,1.2696199645252364,0.19639543343983046,0.8495443267134605,0.35421970060364205,0.9351153347637489,NA,logistic,289,55
Enterorhabdus,obesity_group,obesity,obesity_groupobesity,2.4117706560869463,0,1.926075541118035,0.21050855948575187,0.8529226117095119,0.1795268064412755,0.7138995662391346,NA,logistic,289,28
f__Christensenellaceae,timepoint,48H,timepoint48H,-1.0871343107719753,0,0.8586602729871602,0.2054837282968626,0.8529226117095119,0.36874389399894614,0.9380649629902746,NA,logistic,289,214
Methanobrevibacter,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-1.2364938614879566,0,0.9832376107314417,0.20854593245240802,0.8529226117095119,0.3736004589623716,0.9380649629902746,NA,logistic,289,57
Varibaculum,obesity_group,obesity,obesity_groupobesity,-1.0786633645261015,0,0.8573048204835175,0.20831840619201297,0.8529226117095119,0.052895676696311046,0.3605971398381945,NA,logistic,289,21
Parabacteroides,obesity_group,obesity,obesity_groupobesity,-1.2533732477142694,0,1.0089144649602633,0.21412633115556173,0.8571829191453927,0.38240257661698174,0.940866899275942,NA,logistic,289,149
Slackia,obesity_group,obesity,obesity_groupobesity,-1.348622058888752,0,1.084818414973543,0.21380235940398962,0.8571829191453927,0.38189326992126604,0.940866899275942,NA,logistic,289,88
Roseburia,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-0.941276003432161,0,0.7598778709386843,0.21544916689475263,0.8581449867841843,0.38447999027386237,0.940866899275942,NA,logistic,289,205
Solobacterium,obesity_group,obesity,obesity_groupobesity,0.9811456345579908,0,0.8111390579072595,0.22643628492749118,0.8855032436588889,0.4015991787232186,0.9618767143182508,NA,logistic,289,51
Prevotella,timepoint,48H,timepoint48H,-1.564911328036093,0,1.311941204580454,0.23293939174358635,0.8971954473452687,1.451675129789331e-4,0.00321262017853378,NA,logistic,289,24
f__Erysipelotrichaceae,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-1.1343427562342905,0,0.9602508942223126,0.23748423938833949,0.9037861741904417,0.41856971481882055,0.9773026827650444,NA,logistic,289,224
Peptoniphilus,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-1.5071557215416598,0,1.294144607164135,0.24418253597526018,0.9144684614212931,0.2604099147904343,0.838915484989437,NA,logistic,289,67
Parabacteroides,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-1.4165173976076602,0,1.2443325989652332,0.25496383627293906,0.9289380081262121,0.4449211147388641,0.9932668745705343,NA,logistic,289,149
Roseburia,obesity_group,obesity,obesity_groupobesity,0.4530723273094484,0,0.40032396885501464,0.2577335919552032,0.9318060632226577,0.449040579488275,0.998085829517607,NA,logistic,289,205
Ruminococcus,carbohydrate,RDC,carbohydrateRDC,-0.6984044874766998,0,0.6161236157507686,0.25698501663222395,0.9318060632226577,0.31079887552804375,0.8988444752487175,NA,logistic,289,163
Coprobacillus,obesity_group,obesity,obesity_groupobesity,-2.034274510205974,0,1.8168405150143911,0.262851436015856,0.9420407788223614,0.4566119946161147,0.999976442700979,NA,logistic,289,23
Akkermansia,carbohydrate,SDC,carbohydrateSDC,0.632869193202453,0,0.5749272827746978,0.2709918588186213,0.9436169097014697,0.4685471300912707,0.999976442700979,NA,logistic,289,195
c__Mollicutes,carbohydrate,SDC,carbohydrateSDC,-1.1544767775810316,0,1.0427945680607293,0.26825114689398466,0.9436169097014697,0.26825114689398466,0.8587410928870326,NA,logistic,289,11
Holdemanella,carbohydrate,RDC,carbohydrateRDC,-0.7086760026029023,0,0.6402177340717634,0.268324338499916,0.9436169097014697,0.46465072636841465,0.999976442700979,NA,logistic,289,108
Dorea,obesity_group,obesity,obesity_groupobesity,-0.9843205603521099,0,0.9031118958172724,0.27574797457304784,0.9545550325061657,0.4754590036649574,0.999976442700979,NA,logistic,289,270
f__Prevotellaceae,timepoint,48H,timepoint48H,1.048967357795362,0,0.9647420066416884,0.2769027035190688,0.9545550325061657,0.4771302998219683,0.999976442700979,NA,logistic,289,36
f__Coriobacteriaceae,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-0.8519080010181482,0,0.789695756841436,0.2806858056147844,0.9552935256721912,0.27781469298256767,0.8675317713382021,NA,logistic,289,110
f__Prevotellaceae,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,1.2844048984836218,0,1.1910009044531809,0.28084422959644306,0.9552935256721912,0.007097693004954357,0.08657177746667029,NA,logistic,289,36
Ruminiclostridium,obesity_group,obesity,obesity_groupobesity,0.38596244893685205,0,0.3597033427292329,0.2832701654176718,0.9552935256721912,0.37596316787822404,0.9380649629902746,NA,logistic,289,225
Terrisporobacter,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-0.8650850892025593,0,0.8073504681718022,0.28393962621789476,0.9552935256721912,0.17467801170783948,0.7093404816207732,NA,logistic,289,135
Solobacterium,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,1.174206455477195,0,1.1114293887327924,0.2907475211709151,0.9623333447206346,0.2538009565251568,0.8377788498778611,NA,logistic,289,51
Dialister,carbohydrate,RDC,carbohydrateRDC,-0.63473570675388,0,0.6023700780842628,0.29200633360979766,0.9631086090989818,0.49874496835135895,0.999976442700979,NA,logistic,289,76
Succiniclasticum,obesity_group,obesity,obesity_groupobesity,-1.026809581556196,0,0.9824639669426938,0.2959595904224735,0.9724422523994705,0.5043271016819086,0.999976442700979,NA,logistic,289,30
Actinomyces,carbohydrate,RDC,carbohydrateRDC,-0.6659660112202097,0,0.7122432699007497,0.3497748747070359,0.9806265543621827,0.5772072864377491,0.999976442700979,NA,logistic,289,141
Anaerococcus,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-1.0315439994976439,0,1.0797059345236106,0.33937875494851655,0.9806265543621827,0.5635795705866279,0.999976442700979,NA,logistic,289,57
Anaerococcus,carbohydrate,SDC,carbohydrateSDC,-1.0201553059026993,0,1.0608724698254222,0.33624093743087413,0.9806265543621827,0.5594239068573552,0.999976442700979,NA,logistic,289,57
Butyricimonas,obesity_group,obesity,obesity_groupobesity,-1.161924948785557,0,1.1326370239381143,0.3049584404514397,0.9806265543621827,0.3049584404514397,0.8923285564544978,NA,logistic,289,38
Clostridium,carbohydrate,SDC:timepoint48H,carbohydrateSDC:timepoint48H,-1.2475072197716524,0,1.2746063564067893,0.3277088524449161,0.9806265543621827,0.14080395193200027,0.6562340789897076,NA,logistic,289,239
Dialister,obesity_group,obesity,obesity_groupobesity,-0.7548274344325323,0,0.7869491575967404,0.33746708748724547,0.9806265543621827,0.5610501398373666,0.999976442700979,NA,logistic,289,76
Erysipelatoclostridium,carbohydrate,RDC:timepoint48H,carbohydrateRDC:timepoint48H,-0.7767723422218231,0,0.7555810042589335,0.3039279951251081,0.9806265543621827,0.5154837640294485,0.999976442700979,NA,logistic,289,118
