parameter,entity,estimate,std.error,p.val.adj,s_var,engine
obesity_groupobesity,Holdemania,-0.10123005683947095,0.9037431411426519,0.9903348912489437,1,blmm
carbohydrateRDC:timepoint48H,Holdemania,1.9499742086563492,1.7764483362982926,0.5806969148252515,1,blmm
carbohydrateSDC:timepoint48H,Holdemania,0.8024573016288274,1.774595175545758,0.9279810022723372,1,blmm
carbohydrateRDC,Intestinibacter,-1.0674656289371403,1.3655821555755896,0.7429974685856304,1,blmm
carbohydrateSDC,Intestinibacter,0.03638876283418627,1.3688832250455885,0.9995495627269416,1,blmm
timepoint48H,Intestinibacter,2.322686460254467,1.537286898082622,0.4024685745358319,1,blmm
obesity_groupobesity,Intestinibacter,-1.8402896906515762,1.417529236236863,0.8284074172768967,1,blmm
carbohydrateRDC:timepoint48H,Intestinibacter,1.8904232069536322,1.849913014487159,0.5718372214334406,1,blmm
carbohydrateSDC:timepoint48H,Intestinibacter,0.41524285723544985,1.8479311193311536,0.960505279375001,1,blmm
carbohydrateRDC,Lachnoclostridium,-1.1886665191847214,1.2275191374476522,0.7067331805573797,1,blmm
carbohydrateSDC,Lachnoclostridium,-0.049446203479673226,1.230680907310531,0.9995495627269416,1,blmm
timepoint48H,Lachnoclostridium,2.645315059038403,1.3798502682304872,0.210979228583317,1,blmm
obesity_groupobesity,Lachnoclostridium,0.1165438666034844,1.2590712734925023,1,1,blmm
carbohydrateRDC:timepoint48H,Lachnoclostridium,0.4325322546387311,1.6632814348056746,0.8773609069027674,1,blmm
carbohydrateSDC:timepoint48H,Lachnoclostridium,-0.16838365071269956,1.6615874037540521,0.9946166318093232,1,blmm
carbohydrateRDC,Lactococcus,-1.2019016396860496,1.2810271681285792,0.7198730097099203,1,blmm
carbohydrateSDC,Lactococcus,-0.732716911715611,1.2842028847475897,0.9995495627269416,1,blmm
timepoint48H,Lactococcus,-1.9310918180714784,1.4410873305574452,0.880503131171778,1,blmm
obesity_groupobesity,Lactococcus,0.5114235592519952,0.9378440405080604,1,1,blmm
carbohydrateRDC:timepoint48H,Lactococcus,2.39755559231158,1.735511345959688,0.5171045303898943,1,blmm
carbohydrateSDC:timepoint48H,Lactococcus,2.220920668193363,1.7336915488480777,0.835771484046943,1,blmm
carbohydrateRDC,Marvinbryantia,-1.3361835680208225,1.4601580358241293,0.720956370391406,1,blmm
carbohydrateSDC,Marvinbryantia,-0.31098494617582767,1.4637548160576763,0.9999678688134166,1,blmm
timepoint48H,Marvinbryantia,-3.9912756888787775,1.6428630228794143,0.4749903295503471,1,blmm
obesity_groupobesity,Marvinbryantia,0.1480117526380575,1.139375386344531,0.9992774379676513,1,blmm
carbohydrateRDC:timepoint48H,Marvinbryantia,2.881534205107917,1.9781502570580993,0.5021285134523438,1,blmm
carbohydrateSDC:timepoint48H,Marvinbryantia,2.4700913964550817,1.976065091238471,0.8485234259557802,1,blmm
carbohydrateRDC,Other,-1.4661916891368394,1.2992605728452697,0.722984020890235,1,blmm
carbohydrateSDC,Other,-1.0237688281648651,1.3024910572777793,0.9999678688134166,1,blmm
timepoint48H,Other,3.206148593305943,1.4614912573307783,0.16240481464130355,1,blmm
obesity_groupobesity,Other,-0.4407119971969413,0.9229018054232527,0.9703844530324336,1,blmm
carbohydrateRDC:timepoint48H,Other,2.201980773066596,1.7602321681070983,0.5420213685011934,1,blmm
carbohydrateSDC:timepoint48H,Other,1.518942002872945,1.7583909668115296,0.8788960784379584,1,blmm
carbohydrateRDC,Paenibacillus,-1.0459551572630839,1.4945228529282848,0.7417178779847083,1,blmm
carbohydrateSDC,Paenibacillus,-0.4513808338720781,1.4984140058938242,0.9999678688134166,1,blmm
timepoint48H,Paenibacillus,-3.6696306752015664,1.6796140233389565,0.5791864439575709,1,blmm
