#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia-Lachnoclostridium	0	0	0	0	341	57	25	0	37	0	0	0	0	0	0	0	0	0	0	13	12	312	154	26	0	70	0	0	0	0	0	106	0	185	169	0	11	39	0	0	0	0	0	0	0	0	0	0	0	0	0	171	137	52	103	49	17	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia-Marvinbryantia	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	18	142	0	0	410	333	292	33	580	0	128	0	0	0	43	24	369	52	34	146	0	245	668	347	16	582	0	59	170	56	20	340	0	322	353	113	213	453	86	42	0	0	0	51	11	287	276	26	25	0	0	312	243	294	527	388	422	148	59
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	0	44	0	0	917	1370	14	159	52	61	27	0	182	14	135	12	862	314	670	1142	175	197	1153	143	132	72	17	151	368	0	11	0	0	1272	1591	19	34	38	406	18	0	59	701	177	0	882	971	507	380	82	45	119	341	118	772	41	152	509	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella	0	23	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	138	0	0	13	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	25	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Epulopiscium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	13	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eubacterium	407	1473	713	4132	195	2158	159	33	58	0	0	0	14	52	15	0	18	0	65	658	0	367	576	152	0	150	0	26	81	19	210	183	2468	301	1401	62	88	78	15	0	0	23	0	17	0	85	285	81	59	0	0	259	353	72	468	206	360	114	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Fusicatenibacter	56	121	19	20	67	33	185	94	24	0	71	330	272	903	39	1584	41	27	53	374	159	30	365	0	0	352	23	74	59	62	104	86	473	347	4527	67	82	91	0	46	549	5990	4814	59	1226	351	0	812	5893	965	148	766	8622	0	148	2425	6987	16	36
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	377	0	0	0	63	91	0	0	0	25	0	31	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	248	0	18	0	32	0	38	20	0	0	35	0	454	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	793	2864	1384	27	1545	407	2650	200	3881	0	3848	1393	2866	563	1486	868	230	46	3500	1655	916	2540	1229	3139	81	5910	56	211	535	1558	3191	826	312	1377	187	918	1515	2202	71	690	89	3693	39	834	409	438	81	2430	1426	998	53	2860	307	2099	853	4015	395	437	11
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium-Roseburia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	61	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	0	0	0	0	0	0	0	0	0	0	84	0	28	0	35	0	0	0	38	73	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	28	35	26	0	0	0	0	16	32	0	0	0	0	0	12	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor	0	15	0	0	13	0	0	0	18	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	26	0	0	0	0	0	0	0	0	318	0	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
